5.1. Seberapa puas Anda terhadap Anda menilai kemampuan mentor dalam menjelaskan materi?,"5.2. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.3. Metode pembelajaran apa yang digunakan oleh mentor?,5.4. Seberapa puas Anda terhadap metode pembelajaran yang digunakan oleh mentor?,5.5. Seberapa puas Anda terhadap materi kelas Program GIKnowledge Building 2025?,"5.6. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.7. Apakah materi dan kegiatan yang diberikan sesuai dengan kebutuhan pengembangan Anda?,5.8. Apakah Program GIKnowledge Building membantu Anda memahami hal-hal baru yang relevan dengan rencana pekerjaan atau karier Anda?,5.9. Apakah Anda merasa lebih percaya diri setelah mengikuti program ini?,"5.10. Sejauh mana program ini memberi dampak positif bagi cara Anda bekerja, berpikir, atau berkolaborasi?",5.11. Bagaimana pendapat Anda tentang jadwal dan durasi setiap sesi?,5.12. Seberapa puas Anda terhadap fasilitas kelas GIKnowledge Building 2025?,"5.13. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.14. Seberapa puas Anda terhadap Tim GIK dalam memberikan bimbingan dan dukungan yang cukup selama  penyelenggaraan Program GIKnowledge Building 2025?,"5.15. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.16. Apa manfaat utama yang Anda rasakan setelah mengikuti program ini?,5.17. Apa hal terbaik dari Program GIKnowledge Building 2025 yang sebaiknya dipertahankan?,"5.18. Apakah ada topik, metode, atau aktivitas baru yang ingin Anda tambahkan pada pelaksanaan selanjutnya?","5.19. Berdasarkan level kepuasanmu terhadap keseluruhan pelaksanaan program sejauh ini, seberapa mungkin Anda memberi rekomendasi ke teman atau mahasiswa lain untuk mengikuti Program GIKnowledge Building?","5.20. Jika Anda menjawab ""Sangat direkomendasikan"", atau ""Direkomendasikan"" pada pertanyaan sebelumnya, Berikan alasan mengapa Anda bersedia merekomendasikan program GIKnowledge Building ini kepada teman atau mahasiswa lain?",5.21. Ceritakan pengalaman berkesan selama Anda mengikuti Program GIKnowledge Building!,5.22. Berikan saran perbaikan untuk pengembangan dan keberlanjutan Program GIKnowledge Building!
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Memberikan saya aawasan atas skill set dunia pekerjaan. Dalam perusahaan mitra saya memperlari basic hingga advanced knowledge dalam operasi AI. Hal tersebut sangat bermanfaat untuk saya,Proses pembelajaran dan mitra yang dapat menjadi pembekalan untuk dunia pekerjaan.,Practical program seperti akuntansi hingga teknologi,Sangat direkomendasikan,Membantu mempersiapkan pengetahuan dan kemampuan untuk dunua kerja. Ditambah jejaring pertemanan sangat membantu kita dalam membuka wawasan. Mitra yang dihadirkan juga dapat menjadi bekal untuk bekerja di mitra terkait atau menambah pengalaman.,"Saya sangat senang ketika berpartisipasi aktif dan mendapatkan afeksi dari perusahaan mitra berupa notebook, botol minum, dan totebag. Selain itu, saya bertemu dengan orang-orang baru dengan pengalaman dan wawasan yang sangat menarik.","Saya harap GIKnowledge Building dapat terus terlaksana di tahun-tahun ke depan. Kedepannya, mitra hingga pembelajaran yang diberikan diharapkan dapat lebih practical sesuai yabg dilakukan dalam dunia pekerjaan."
Sangat puas,;,Diskusi,Sangat puas,Sangat puas,;,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,;,Sangat puas,;,Pengetahuan,Kerjasama dengan berbagai elemen swasta,;,Sangat direkomendasikan,N/A,-,-
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Menambah ilmu ,Perusahaan sudah bagus,Menambah perusahaan lain,Direkomendasikan,N/A,Bertemu dengabn relasi baru,Lebih banyak lagi perusahaan yang relevan
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"saya bisa mengetahui bahwa ada industri “antara” di indonesia ini dari materi yang diberikan PT perusahaan mitra, saya juga mengetahui apa saja kendala dari industri “antara” ini",kunjungan industri ke PT perusahaan mitra,-,Direkomendasikan,menambah insight baru,"saya mendapat teman dan berbagai insight baru, sertua ilmu ilmu yang bermanfaat bagi saya",-
Sangat puas,Pertanyaan tidak relevan,Ceramah,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,"Pertanyaan tidak relevan, ",Sangat puas,Pertanyaan tidak relevan,"Menambah ilmu diluar teori yang didapatkan selama perkuliahan, membuka wawasan terkait dunia kerja.",Industri yang menjadi panutan.,Perbanyak tugas individu.,Sangat direkomendasikan,Kelas seru dan tidak monoton. Menambah wawasan.,Menambah wawasan.,Perbanyak tugas individu
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Lebih kenal taman teman hebat, dan bertemu mentor yang hebat juga, terutama karena aku dari agroindustri materi sangat relevan dengan apa yang saya pelajari",Project setelah program selesai dan didampingi mentor,-,Sangat direkomendasikan,Karena semua materi dan juga mentor yang mendampingi sangat memberikan pengetahuan yang luas,Selama kelas saya mendapatkan pengetahuan baru kadang juga setelah kelas berlangsung terdapat tugas yang menurut saya seru,"Sudah baik, mungkin menurut saya lebih baik kelas diadakan dihari sabtu dan minggu"
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Netral,Puas,Pertanyaan tidak relevan,Ya,Tidak,Ya,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Menambah wawasan, pengetahuan, dan relasi. Mendapatkan pengetahuan baru mengenai AI dan pemanfaatan AI dalam program",Diskusi dengan para mentor,Praktek langsung di lapangan ataupun kunjungan lapangan,Direkomendasikan,N/A,Mendapatkan kenalan baru  dan berdiskusi dengan mentor,Adakan kunjungan lapangan
Sangat puas,"Latar belakang mentor kurang relevan, Penyampaian materi oleh mentor kurang menarik",Ceramah,Sangat puas,Sangat puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik tidak sesuai ekspektasi",Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,MENAMBAH PENGETAHUAN,ILMU BERMANFAAT,ADANYA KESEMPATAN MAGANG,Sangat direkomendasikan,BERMANFAAT,MENTOR SANGAT BAIK,TIDAK ADA
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Manfaat yang saya dapatkan dari program ini, yaitu saya mendapatkan pemahaman tentang perusahaan mitra dengan baik, memulai belajar live sale dengan peralatan yang ada disekitar-kita, serta saya bisa memahami pemanfaatan perusahaan mitra dengan lebih optimal",Ketepatan waktu dalam pertemuan yang dilakukan Program GIKnowledge Building 2025 patut dipertahankan,Sebaiknya pada sesi pembelajaran ditambahkan aktivitas diskusi interaktif antar peserta untuk meningkatkan kolaborasi dan daya tarik pembelajaran,Sangat direkomendasikan,Saya merekomendasikan program GIKnowledge Building karena saya merasa kegiatan ini sangat menarik dan menginspirasi bagi saya,"Saya merasa senang karena bisa berkesempatan untuk mengikuti kegiatan Program GIKnowledge Building, khususnya yang didakan oleh perusahaan mitra by perusahaan mitra","Saya harap kedepannyan, program GIKnowledge Building bisa melebarkan materi dan jenis kegiatan yang ada selama berjalannya program"
Puas,"Latar belakang mentor kurang relevan, Mentor kurang interaktif",Praktik dan simulasi,Puas,Puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif",Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Netral,"Fasilitas kurang memadai, Fasilitas kurang inklusif",Puas,"Tim GIK kurang responsif dan/atau informatif, Tim GIK kurang mengakomodasi kebutuhan peserta kelas",wawasan mengenai live streaming semakin luas,praktik,tidak,Direkomendasikan,karena bermanfaat,tidak ada,tidak ada
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Melengkapi knowledge matkul marketing, memperluas networking ",Narasumber yang kompeten di bidangnya ,Final Project (group) ,Sangat direkomendasikan,Mendapat skill yang tidak diberikan di kuliah biasa ,"Saya merasa lebih percaya diri untuk berdiskusi dengan orang lain, mendapatkan relasi dan insight dari mahasiswa yang berbeda prodi dengan saya serta pengalaman non akademik yang menginspirasi",Peserta diberikan rundown dan kalau boleh ppt materi 
Puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Lebih matang dalam bidang ilmu yang diberikan menjadi conten creator dan host live.,Praktek langsung host live.,Belum ada,Direkomendasikan,Sangat bermanfaat dan ilmunya mudah dipahami ,Semuanya sangat menarik terutama teman-teman yang bergabung juga sangat heterogen sehingga bisa bertukar pikiran sangat banyak.,Mungkin ditambah dengan magang atau kuliah lapangan 
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Tidak,Tidak,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Pengetahuan baru yang sangat menarik.,Sistem pembelajaran dan kemitraannya.,-,Direkomendasikan,Karena bermanfaat dan menarik.,Melihat para partisipan yang lain sangat semangat dalam mempelajari hal baru.,Perlunya kejelasan terkait seleksi mitra. Akan lebih baik jika informasinya terus terang.
Netral,. ,Ceramah,Netral,Netral,. ,Tidak,Tidak,Tidak,Netral,Cukup/ideal,Puas,. ,Netral,. ,Menambah ilmu tentang pengguanaan ai pada kantor,Opening ceremony,Tidak,Tidak direkomendasikan,N/A,"Sangat jarang saya mengikuti pelatihan offline. Jadi, saya kagum dengan antusiasme peserta dan panitia. Opening ceremony juga cukup berkesan",Relevansi materi untuk mahasiswa yang ikut pelatihan sebaiknya disurvei kembali. Mengikuti minat dari mahasiswa lalu GIKnowledge Building memberi fasilitasnya
Puas,Pertanyaan tidak relevan,Semua pilihan di atas,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Mendapat wawasan baru mengenai praktik di dunia industri,Kemitraan dengan perusahaan besar,Tidak ada,Direkomendasikan,Memberi wawasan yang belum tentu bisa didapatkan di kelas,Mendapatkan insight mengenai nilai2 dan prinsip pegawai di perusahaan mitra,Lebih banyak lagi mitranya
Sangat puas,menarik ,Praktik dan simulasi,Sangat puas,Sangat puas,materi lengkap ,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,ramah ,Sangat puas,antusias,dapate meningkatkan skill,program perusahaan mitra,pembharuan dengan game ,Sangat direkomendasikan,N,menikuti lomba joget,saran ada game dan boothcam
Puas,Latar belakang mentor kurang relevan,Diskusi,Tidak puas,Tidak puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik tidak sesuai ekspektasi",Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,-,Puas,Tim GIK kurang mengakomodasi kebutuhan peserta kelas,"Saya mendapatkan insight baru dalam promting Ai, namun hal yang paling berkesan bagaimana teman-teman GIKnowledge Building membuat promting yang sangat menarik seperti membuat WEB, Papper, Design Canva dan Coding kompleks",Kelas offline,Diskusi secara langsung dan simulasi ,Netral,N/A,"Menurut saya hal yang paling berkesan bagaimana teman-teman GIKnowledge Building membuat promting yang sangat menarik seperti membuat WEB, Papper, Design Canva dan Coding kompleks",Lebih banyak sesi simulasi dan kelas offline serta project berkelompok untuk membentuk bounding
Sangat puas,Pertanyaan tidak relevan,Praktik dan simulasi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,skills baru,materi yang aplicable,include magang,Sangat direkomendasikan,N/A,tutor yang asik,materi yang lebih banyak dan kompleks
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Manfaat utama yang saya rasakan ialah merasa lebih dekat dengan perusahaan dan lebih tau flow kerja di perusahaan mitra tersebut.,"Hal yang perlu dipertahankan ialah melakukan Program GIKnowledge Building tiap tahun atau rutin. Kegiatan ini bener-bener sangat membantu, namun mungkin kedepannya bisa menambah banyak mitra perusahaan lagi.",Visit Company,Direkomendasikan,Alasan saya sangat merekomendasikan program ini karena mahasiswa sangat butuh kegiatan yang menjembatani dunia akademik ke dunia kerja. ,"Saya mengambil program perusahaan mitra by perusahaan mitra, hal paling berkesan adalah kegiatan ujian praktik host live perusahaan mitra. Deg-degannya ada bangettt.","Saran
1. Menambah perusahaan mitra
2. Peserta terbaik diberi kesempatan untuk magang di perusahaan mitra
3. Visit company
4. Perusahaan mitra memaparkan terkait karyawan or kandidat yang mereka cari itu seperti
5. Screening CV
6. memastikan setiap mitra perusahaan jelas sejak awal tentang materi yang akan dibagikan dan unit atau divisi yang akan diperkenalkan kepada mahasiswa."
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,"Tim GIK kurang mengakomodasi kebutuhan peserta kelas, Pertanyaan tidak relevan","saya mendapatkan ilmu lintas disiplin yang tidak saya dapatkan di perkuliahan, serta mengenal industri sawit khsusnya secara lebih detail","utamanya di distem diskusi, secara keseluruhan dapat dipertahankan sih","Topik mengenai teknologia kayaknya perlu ditambahkan di Sinar Mas Agribusiness and Food, serta kondisi angsung dilapangan seperti apa",Sangat direkomendasikan,sangat worth it meluangkan waktu 2 jam buat belajar hal baru di GIKnowledge Building ini,saya mendapatkan mentoring langsung dari yang sudah expert dibidangnya,"presensi tidak dibatasi, karena kuliah biasa kadang molor kelasnya"
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Lebih mengetahui dunia live perusahaan mitra,"Sistemnya bagus, tapi kurang transparan saat melakukan rekruitmen peserta, karena saya sebenarnya ikut kelas tidak dengan pilihan pertama dan kedua saya",Bisa lah mengagendakan kunjungan langsung ke kantor terdekat dengan mitra,Direkomendasikan,Program nya bagus,Mendapat temen dan mentor yang keren,Lebih transparan mengenai rekruitmen peserta
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mendapatkan pengetahuan yang baru,Kegiatan yang interaktif,Tidak ada,Sangat direkomendasikan,Karena program ini memberikan pengetahuan baru terhadap hal yang diminati,"Bertemu dengan teman-teman baru, dari latar belakang pendidikan yang berbeda","Ubah program menjadi basis micro-credentials (sertifikasi keahlian mikro). Setiap mahasiswa yang menyelesaikan satu set keahlian spesifik (misalnya, Digital Marketing Analytics atau Sustainable Product Management) akan mendapatkan lencana digital (digital badge) atau sertifikat keahlian yang diakui industri. "
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Lebih paham dan mengerti serta jauh lebih percaya diri untuk tampil depan kamera,Sesi praktik live stream,Praktik menggunakan akun pribadi,Sangat direkomendasikan,Karena fasilitas nya gratis dengan benefit yang powerfull,Dapat kenalan dan relasi dari berbagai macam background ,Sesi praktik sampai dengan interview kacau balas (batch 3) 
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Manfaat terbesar yang saya rasakan adalah peningkatan cara berpikir dalam memahami konsumen dan mengurai masalah secara terstruktur. Program ini membantu saya melihat bagaimana sebuah bisnis dibangun melalui kombinasi insight konsumen, proses operasi yang efisien, dan eksekusi yang disiplin. Selain itu, GIKnowledge Building memberi saya exposure terhadap cara perusahaan mitra membangun budaya belajar, empati terhadap user, serta kedisiplinan dalam membuat keputusan berbasis data sederhana. Wawasan seperti ini sangat relevan dan aplikatif untuk dunia profesional.","Yang paling baik dari GIKnowledge Building adalah pengalaman belajar yang holistik. Materi yang diberikan tidak hanya konsep, tetapi dikemas secara praktis, relatable, dan langsung bisa diterapkan. Fasilitatornya juga selalu welcome, responsif, dan mendorong diskusi terbuka sehingga kelas terasa hidup dan tidak kaku. Selain itu, dinamika kelompok dan sesi sharing antarpeserta membuat proses belajar terasa human dan menyenangkan. Pendekatan ini sebaiknya dipertahankan karena membuat seluruh peserta merasa “ikut terlibat,” bukan hanya “menerima materi.”","Saya ingin melihat sesi singkat tentang career readiness, seperti bagaimana perusahaan mitra menyiapkan talent baru, contoh real project di dalam perusahaan, atau mini case simulation yang menggambarkan proses problem solving di dunia kerja. Selain itu, mini workshop tentang digital tools sederhana untuk UMKM (WA Business, basic content, Google Maps optimization) mungkin bisa menambah nilai karena langsung relevan dengan banyak konteks lapangan. Jika memungkinkan, sesi industry mentoring satu kali juga akan sangat bermanfaat.",Sangat direkomendasikan,"Program ini memberikan pengalaman belajar yang seimbang antara teori, praktik, dan interaksi. Saya melihat bahwa GIKnowledge Building bukan sekadar pelatihan, tetapi sebuah ruang untuk memahami cara berpikir perusahaan besar, mengembangkan empati terhadap konsumen, dan belajar dari fasilitator yang sangat berpengalaman. Materinya down-to-earth, tidak menggurui, dan justru sangat relevan dengan kebutuhan mahasiswa maupun early professionals. Pengalaman seperti ini jarang ditemukan di program lain.","Yang paling berkesan adalah dinamika kelas dan cara fasilitator menyampaikan materi dengan contoh-contoh yang dekat dengan kehidupan sehari-hari. Diskusi tentang consumer insight, go-to-market, dan supply chain terasa sangat relatable karena dibahas melalui kasus nyata perusahaan mitra. Selain itu, berinteraksi dengan peserta lain dari latar belakang yang berbeda membuat proses belajar terasa kaya perspektif. Setiap sesi selalu menghadirkan hal baru, dan saya merasa selalu pulang dengan pemahaman yang lebih matang.","Saya menyarankan adanya struktur alur program yang dijelaskan lebih awal agar peserta bisa mempersiapkan diri sejak sesi awal. Selain itu, akan sangat membantu jika tersedia checklist atau template sederhana untuk tugas-tugas utama, sehingga pelaksanaan kegiatan lebih terarah dan efisien. Jika memungkinkan, menambahkan satu sesi inspiratif dari alumni GIKnowledge Building atau leader perusahaan mitra juga dapat memperkaya motivasi dan memberikan gambaran perjalanan karier di industri."
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Netral,Kelas GIKnowledge Building selalu diselenggarakan di saat yang bersamaan dengan jam kelas kuliah aktif ,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapat relasi ,Mitra perusahaannya keren keren ,N/A,Sangat direkomendasikan,N/A,N/A,"tolong kelasnya jangan diadakan waktu perkuliahan aktif. Kalau begitu kan sayang harus bolos GIKnowledge Building padahal sudah tes segala macam ternyata tidak bisa maksimal saat program karena kelas GIKnowledge Building selalu diadakan di jam perkuliahan aktif (pagi-sore weekday). Sebagai mahasiswa, kami wajib menghadiri kelas mata kuliah sehingga tidak mungkin kami membolos kelas untuk menghadiri GIKnowledge Building. Maka dari itu, saran saya kelas GIKnowledge Building di fokuskan di jam luar perkuliahan seperti (malam hari atau weekend)"
Puas,-,Kegiatan interaktif,Puas,Puas,-,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,-,Netral,-,"relasi baru, dan bisa mengenal tim HR perusahaan mitracorp",pelibatan langsung praktisi industri,-,Netral,-,bertemu teman2 baru dan mengarungi 60km pp untuk bertemu umkm,"- jadwalnya jangan pas weekday karna bisa bentrok dengan jadwal org2, terlebih yg mahasiswa aktif. kebetulan saya cuma bisa datang sekali offline karna waktu itu kelas saya dicancel, selebihnya tdk bisa datang karna jadwal bertabrakan dengan kelas dan asprak. atau kalo terpaksa weekday mungkin bisa sedikit lebih malam (eg. setelah magrib)
- khusus kelas perusahaan mitracorp (yg saya ikuti), capstone projectnya adalah berkolaborasi langsung dengan umkm. disini ada 2 poin yg menurut sy dapat ditingkatkan:
1) lokasi umkm boleh lebih dekat dengan ugm. karena, umkm akan meminta kami datang langsung. umkm yg dipasangkan dengan kami sendiri jaraknya 30 kilometer jauhnya dari ugm. tentunya ini sangat melelahkan untuk dikunjungi secara langsung.
2) mungkin lebih ada sisi ""manfaat""nya untuk umkm itu sendiri. karna kalau liat dari tugasnya, disini kami hanya mengambil data dan menanya2kan umkm tersebut guna keperluan business case, tp umkmnya sendiri tdk mendapatkan benefit apa2 (kecuali dr inisiatif peserta sendiri)."
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,menambah jejaring sosial,praktik session,content creator class,Sangat direkomendasikan,sangat seru dan bermanfaat,"saat percobaan live saya merasa gugup, tapi so farr sangat asyikkkkk karena belajar hal baru dan mentornya pun memberi tips n trick agar lebih baik",adakan snack kecil untuk peserta
Netral,Pertanyaan tidak relevan,Kunjungan lapangan,Tidak puas,Tidak puas,Materi dan/atau topik tidak sesuai ekspektasi,Tidak,Tidak,Tidak,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Memiliki jaringan pertemanan baru ,konsep dasar dari GIKnowledge Building itu sendiri,"mungkin bisa ditambahkan materi mengenai leadership, atau pembelajaran interaktif berkelompok dengan menggunakan alat tulis yang ada, ex: white board, kertas plano, sticky notes untuk brainstorming. selain bisa meningkatkan kreativitas hal tsb juga bisa meningkatkan solidaritas team. 

kemudian di silabus kemarin ada beberapa hal mengenai porses bisnis perusahaan, namun hal tersebut tidak diajarkan sepenuhnya. mungkin lain kali bisa ada kelas untuk tiap sub topik, misal HR, Marketing, ataupun proses produksi dan diberikan kesempatan untuk pemagangan jika memungkinkan atau bagi mereka yang berkenan.",Netral,N/A,Ngeliat semangat temen2 dan team GIK,sama seperti poin 5.18
Sangat puas,Pertanyaan tidak relevan,Kunjungan lapangan,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,dapat ilmu dan relasi,mendatangkan CEO,-,Sangat direkomendasikan,dapat manfaat,kunjungkan ke PT perusahaan mitra,-
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Setelah mengikuti program ini, saya mendapat wawasan terkait berbagai aspek bisnis yang sedang dijalankan dari perusahaan mitra. Insight tersebut memberikan saya gambaran nyata tentang praktik bisnis, karena disampaikan langsung oleh pelaku dalam bisnis tersebut. ",Kesempatan untuk melakukan sebuah tugas bernama capstone project yang memberikan kesempatan bagi peserta untuk dapat menemukan solusi dan mengaplikasikan inovasi atas tantangan bisnis nyata.,-,Direkomendasikan,Kesempatan untuk berdiskusi dalam kelas bersama para mentor dari perusahaan mitra merupakan sebuah kesempatan untuk mendapat wawasan dari pelaku bisnis,"Dalam salah satu sesi bersama mentor, saya dan para peserta mendapat kesempatan untuk mendiskusikan solusi atas sebuah ilustrasi permasalahan terkait shared service dalam perusahaan. Kami diberi kesempatan pula mempresentasikan hasil diskusi kami di depan mentor dan mendapat apresiasi sebagai kelompok terbaik dalam presentasi.","Dalam mendukung pengembangan dan keberlanjutan Program GIKnowledge Building, dapat ditingkatkan pengalaman praktis peserta, misalkan perusahaan mitra dapat meberikan ilustrasi tantangan nyata yang dihadapi perusahaan sesuai topik pertemuan. Sehingga peserta dapat lebih mengasah analisis masalah dan problem solving skill."
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,mendapatkan ilmu yang sangat daging dan perspektif yang berbeda terutama dari perspektif industri,"pemateri berasal dari industri, sudah sangat baik dan harus tetap dipertahankan","interaktif topic sudah sangat bagus, mungkin alangkah baiknya jika benar-benar diberikan kesempatan untuk mencoba mengerjakan tugas industrinya langsung",Sangat direkomendasikan,sangat bagus untuk pengalaman dan pengembangan diri dan karakter,"pengajar dari perusahaan mitra top sekali effortnya datang jauh2, sangat menginspirasi","perbanyak kelas di bidang teknologi dan manufaktur, saya yakin akan banyak peminatnya"
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Saya memahami bagaimana menggunakan AI secara efektif ,Partner / mitra yang bervariasi ,Tambahkan kunjungan industri,Direkomendasikan,Karena sangat membantu dalam pengembangan diri,Saya dapat belajar dan bagaimana penerapan AI di dunia kerja,Akses informasi sebaiknya diperbaiki
